(b7 b13 50)
(b4 b15 46)
(b19 end 6)
(b7 b3 89)
(b9 b12 59)
(b17 b18 80)
(b14 b13 47)
(b17 b2 86)
(b10 b19 82)
(b3 b5 57)
(b12 b6 85)
(b2 b12 99)
(b5 b19 52)
(b9 b3 9)
(b6 b10 20)
(b11 b10 58)
(b3 b4 81)
(start b18 25)
(b18 b12 9)
(b11 b8 65)
(b10 b13 91)
(b2 b11 24)
(b17 b6 97)
(b6 b3 54)
(b11 b6 91)
(b19 b16 18)
(b8 b10 71)
(b14 b4 30)
(b5 b4 73)
(b13 b15 22)
(b6 b13 71)
(b16 b15 30)
(start b2 43)
(b14 b16 89)
(b3 b10 55)
(b8 b14 10)
(b11 b7 99)
(b5 b16 98)
(b11 b12 27)
(b2 b8 45)
(b8 b3 84)
(b9 b11 21)
(b6 b8 23)
(b6 b7 67)
(b2 b6 96)
(b17 b12 1)
(b18 b2 8)
(b12 b7 18)
(b9 b7 68)
(b18 b9 37)
(b8 b7 33)
(b13 b5 28)
(b12 b8 45)
(b3 b14 61)
(b10 b4 26)
(b18 b11 82)
(b13 b19 70)
(b13 b16 68)
(b10 b14 62)
(b14 b5 36)
(b2 b9 12)
(b14 b15 11)
(b16 end 53)
(b7 b5 75)
(b4 b16 24)
(b3 b13 66)
